ID,Distances,,,5,
2397,3800000,,,,
2532,3800000,,,,
2533,3790000,,,,
363,3790000,,,,
384,3790000,,,,
1591,3790000,,,,
23,3780000,,,,
43,3780000,,,,
1127,3770000,,,,
1693,3770000,,,,
1824,3770000,,,,
2102,3760000,,,,
2479,3750000,,,,
2531,3750000,,,,
167,3750000,,,,
880,3750000,,,,
1413,3740000,,,,
1966,3730000,,,,
2159,3730000,,,,
2417,3730000,,,,
137,3730000,,,,
226,3730000,,,,
348,3730000,,,,
369,3730000,,,,
685,3720000,,,,
998,3720000,,,,
1974,3720000,,,,
2018,3710000,,,,
2494,3710000,,,,
552,3710000,,,,
567,3710000,,,,
1143,3700000,,,,
1789,3700000,,,,
169,3690000,,,,
579,3690000,,,,
695,3690000,,,,
748,3690000,,,,
1334,3680000,,,,
1558,3680000,,,,
1766,3680000,,,,
361,3680000,,,,
439,3680000,,,,
1281,3670000,,,,
2135,3670000,,,,
2300,3670000,,,,
628,3670000,,,,
745,3670000,,,,
1667,3670000,,,,
2208,3670000,,,,
2354,3660000,,,,
585,3660000,,,,
678,3660000,,,,
743,3660000,,,,
1547,3660000,,,,
296,3650000,,,,
383,3650000,,,,
387,3650000,,,,
388,3650000,,,,
493,3650000,,,,
798,3640000,,,,
1379,3640000,,,,
1448,3640000,,,,
1609,3640000,,,,
2284,3640000,,,,
330,3640000,,,,
435,3640000,,,,
499,3620000,,,,
1209,3620000,,,,
1863,3620000,,,,
297,3620000,,,,
500,3610000,,,,
520,3610000,,,,
651,3610000,,,,
714,3610000,,,,
735,3600000,,,,
1042,3600000,,,,
1610,3600000,,,,
1713,3600000,,,,
1792,3590000,,,,
1978,3590000,,,,
1994,3590000,,,,
2187,3590000,,,,
2290,3590000,,,,
386,3590000,,,,
634,3590000,,,,
639,3590000,,,,
971,3580000,,,,
978,3580000,,,,
1070,3580000,,,,
1252,3580000,,,,
1967,3580000,,,,
2234,3580000,,,,
463,3580000,,,,
655,3580000,,,,
1653,3580000,,,,
1788,3570000,,,,
717,3570000,,,,
767,3570000,,,,
922,3570000,,,,
1155,3560000,,,,
1823,3560000,,,,
2143,3560000,,,,
436,3560000,,,,
757,3560000,,,,
996,3560000,,,,
1855,3550000,,,,
1911,3550000,,,,
1921,3550000,,,,
457,3550000,,,,
1228,3550000,,,,
1289,3550000,,,,
1714,3550000,,,,
1907,3550000,,,,
1957,3540000,,,,
2104,3540000,,,,
765,3540000,,,,
1353,3540000,,,,
1545,3540000,,,,
1685,3530000,,,,
1718,3530000,,,,
1888,3530000,,,,
497,3530000,,,,
516,3530000,,,,
517,3520000,,,,
721,3520000,,,,
746,3520000,,,,
806,3520000,,,,
959,3510000,,,,
1007,3510000,,,,
521,3510000,,,,
522,3510000,,,,
595,3510000,,,,
597,3510000,,,,
828,3510000,,,,
931,3510000,,,,
1212,3510000,,,,
1403,3510000,,,,
1567,3510000,,,,
1816,3510000,,,,
1854,3510000,,,,
483,3510000,,,,
657,3510000,,,,
793,3500000,,,,
999,3500000,,,,
1129,3500000,,,,
1182,3490000,,,,
1409,3490000,,,,
1588,3490000,,,,
1964,3490000,,,,
1975,3490000,,,,
1977,3490000,,,,
518,3490000,,,,
561,3490000,,,,
578,3480000,,,,
894,3480000,,,,
1160,3480000,,,,
1253,3480000,,,,
1436,3480000,,,,
1779,3480000,,,,
596,3470000,,,,
649,3470000,,,,
679,3470000,,,,
682,3470000,,,,
732,3470000,,,,
763,3470000,,,,
1125,3470000,,,,
1232,3470000,,,,
1555,3470000,,,,
1652,3460000,,,,
1913,3460000,,,,
1932,3460000,,,,
654,3460000,,,,
702,3450000,,,,
725,3450000,,,,
734,3450000,,,,
1146,3450000,,,,
1352,3450000,,,,
1428,3450000,,,,
1457,3450000,,,,
1730,3440000,,,,
1767,3440000,,,,
650,3440000,,,,
656,3440000,,,,
715,3440000,,,,
720,3430000,,,,
753,3430000,,,,
866,3430000,,,,
907,3430000,,,,
997,3430000,,,,
1292,3420000,,,,
1573,3420000,,,,
1686,3420000,,,,
1759,3420000,,,,
744,3410000,,,,
750,3410000,,,,
845,3410000,,,,
1162,3410000,,,,
1210,3410000,,,,
712,3410000,,,,
752,3410000,,,,
759,3410000,,,,
797,3410000,,,,
815,3410000,,,,
829,3400000,,,,
881,3400000,,,,
958,3400000,,,,
1069,3400000,,,,
1561,3400000,,,,
1603,3390000,,,,
1719,3390000,,,,
1760,3390000,,,,
868,3390000,,,,
963,3390000,,,,
1264,3390000,,,,
1365,3390000,,,,
1389,3390000,,,,
1490,3390000,,,,
832,3390000,,,,
995,3390000,,,,
1043,3390000,,,,
1103,3390000,,,,
1140,3390000,,,,
1174,3380000,,,,
1203,3380000,,,,
1251,3380000,,,,
1431,3380000,,,,
1583,3380000,,,,
1642,3380000,,,,
1167,3380000,,,,
1180,3380000,,,,
1572,3380000,,,,
1597,3370000,,,,
1630,3370000,,,,
1654,3370000,,,,
1126,3370000,,,,
1166,3360000,,,,
1335,3360000,,,,
1399,3360000,,,,
1427,3360000,,,,
1465,3360000,,,,
1168,3360000,,,,
1169,3350000,,,,
1178,3350000,,,,
1383,3350000,,,,
,3350000,,,,
,3350000,,,,
,3350000,,,,
2032,3340000,,,,
2420,3340000,,,,
662,3340000,,,,
205,3340000,,,,
643,3340000,,,,
343,3340000,,,,
1,3340000,,,,
945,3330000,,,,
1467,3330000,,,,
2554,3330000,,,,
786,3330000,,,,
2298,3330000,,,,
98,3330000,,,,
102,3320000,,,,
147,3320000,,,,
2367,3320000,,,,
60,3320000,,,,
284,3320000,,,,
2375,3320000,,,,
106,3320000,,,,
133,3320000,,,,
1275,3310000,,,,
1689,3310000,,,,
2616,3310000,,,,
195,3310000,,,,
178,3310000,,,,
944,3310000,,,,
1454,3310000,,,,
134,3310000,,,,
17,3310000,,,,
1695,3310000,,,,
391,3310000,,,,
1497,3300000,,,,
58,3300000,,,,
2670,3300000,,,,
130,3300000,,,,
105,3300000,,,,
112,3300000,,,,
1189,3300000,,,,
1698,3300000,,,,
37,3300000,,,,
1378,3300000,,,,
36,3300000,,,,
787,3290000,,,,
667,3290000,,,,
2121,3290000,,,,
1081,3290000,,,,
2057,3290000,,,,
2634,3290000,,,,
136,3290000,,,,
176,3290000,,,,
835,3280000,,,,
1120,3280000,,,,
156,3280000,,,,
